算法,mAP,μAP,哈希大小,时间戳
Average Hash (aHash),0.671718,0.527298,16,20250325_035048
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_035048
Difference Hash (dHash),0.572125,0.569709,16,20250325_035048
Wavelet Hash (wHash),0.620350,0.577226,16,20250325_035048
Color Hash (cHash),0.466765,0.342285,16,20250325_035048
Marr-Hildreth Hash (mhHash),0.479465,0.465547,16,20250325_035048
Average Hash (aHash),0.671718,0.527298,16,20250325_042345
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_042345
Difference Hash (dHash),0.572125,0.569709,16,20250325_042345
Wavelet Hash (wHash),0.620350,0.577226,16,20250325_042345
Color Hash (cHash),0.466765,0.342285,16,20250325_042345
Marr-Hildreth Hash (mhHash),0.479465,0.465547,16,20250325_042345
ResNet50 Hash,0.866195,0.828649,16,20250325_042345
ResNet50 Deep Features,0.889316,0.847680,16,20250325_042345
Average Hash (aHash),0.671718,0.527298,16,20250325_051706,N/A
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_051706,N/A
Difference Hash (dHash),0.572125,0.569709,16,20250325_051706,N/A
Wavelet Hash (wHash),0.620350,0.577226,16,20250325_051706,N/A
Color Hash (cHash),0.466765,0.342285,16,20250325_051706,N/A
Marr-Hildreth Hash (mhHash),0.479465,0.465547,16,20250325_051706,N/A
ResNet50 Hash,0.866195,0.828649,16,20250325_051706,N/A
ResNet50 Deep Features,0.889316,0.847680,16,20250325_051706,N/A
Multiscale ResNet50 Hash,0.645588,0.488044,16,20250325_051706,"[1.0, 0.75, 0.5]"
Multiscale ResNet50 Deep Features,0.771342,0.678883,16,20250325_051706,"[1.0, 0.75, 0.5]"
ViT Hash,0.594698,0.483328,16,20250325_131124,N/A
ViT Deep Features,0.708110,0.581331,16,20250325_131124,N/A
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_133239,N/A
ResNet50 Deep Features,0.889316,0.847680,16,20250325_133239,N/A
ViT Deep Features,0.708110,0.581331,16,20250325_133239,N/A
Contrastive Learning Hash,0.758265,0.698704,16,20250325_140754,N/A
Contrastive Learning Deep Features,0.869725,0.830078,16,20250325_140754,N/A
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_145934,N/A
ResNet50 Deep Features,0.889316,0.847680,16,20250325_145934,N/A
ViT Deep Features,0.708110,0.581331,16,20250325_145934,N/A
Contrastive Learning Deep Features,0.855859,0.805462,16,20250325_145934,N/A
Average Hash (aHash),0.671718,0.527298,16,20250325_154842,N/A
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_154842,N/A
Difference Hash (dHash),0.572125,0.569709,16,20250325_154842,N/A
Wavelet Hash (wHash),0.620350,0.577226,16,20250325_154842,N/A
Color Hash (cHash),0.466765,0.342285,16,20250325_154842,N/A
Marr-Hildreth Hash (mhHash),0.479465,0.465547,16,20250325_154842,N/A
ResNet50 Hash,0.866195,0.828649,16,20250325_154842,N/A
ResNet50 Deep Features,0.889316,0.847680,16,20250325_154842,N/A
Multiscale ResNet50 Hash,0.645588,0.488044,16,20250325_154842,"[1.0, 0.75, 0.5]"
Multiscale ResNet50 Deep Features,0.771342,0.678883,16,20250325_154842,"[1.0, 0.75, 0.5]"
ViT Hash,0.594698,0.483328,16,20250325_154842,N/A
ViT Deep Features,0.708110,0.581331,16,20250325_154842,N/A
Average Hash (aHash),0.671718,0.527298,16,20250325_165141,N/A
Perceptual Hash (pHash),0.572684,0.569774,16,20250325_165141,N/A
Difference Hash (dHash),0.572125,0.569709,16,20250325_165141,N/A
Wavelet Hash (wHash),0.620350,0.577226,16,20250325_165141,N/A
Color Hash (cHash),0.466765,0.342285,16,20250325_165141,N/A
Marr-Hildreth Hash (mhHash),0.479465,0.465547,16,20250325_165141,N/A
ResNet50 Hash,0.866195,0.828649,16,20250325_165141,N/A
ResNet50 Deep Features,0.889316,0.847680,16,20250325_165141,N/A
Multiscale ResNet50 Hash,0.645588,0.488044,16,20250325_165141,"[1.0, 0.75, 0.5]"
Multiscale ResNet50 Deep Features,0.771342,0.678883,16,20250325_165141,"[1.0, 0.75, 0.5]"
ViT Hash,0.594698,0.483328,16,20250325_165141,N/A
ViT Deep Features,0.708110,0.581331,16,20250325_165141,N/A
Contrastive Learning Hash,0.725108,0.658250,16,20250325_165141,N/A
Contrastive Learning Deep Features,0.858898,0.804888,16,20250325_165141,N/A
ViT Hash,0.876056,0.798568,16,20250325_175909,N/A
ViT Deep Features,0.913840,0.847186,16,20250325_175909,N/A
